Counter,Row,ColumnCounter,Video,Filename,"What is the start time of the commercial? (Remember to pause the video at the black frame right before the commercial starts, and then click on Share and click the ""start at"" button before copying and pasting the URL here)","What is the END time of the commercial? (Remember to pause the video at the black frame right after the commercial ends, and then click on Share and click the ""start at"" button before copying and pasting the URL here)",Who is the ad's sponsor (or the company who makes the product in the ad)?,"What is the product being advertised, if any?",Is the Commercial Particularly Interesting/Weird/Cool?,Blank,Date,Sponsor--Product,StartTime,EndTime,Time,Interesting,Formula
1,1,1,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=424,https://youtu.be/Hh0PsOJW2j4?t=424,Toyota ,Auto Mobile dealership,No,0,1989 08 04,Toyota --Auto Mobile dealership,424,424,0,,"ffmpeg -ss 423 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 3 ""Toyota --Auto Mobile dealership__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_424s"".mp4"
2,1,7,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=455,https://youtu.be/Hh0PsOJW2j4?t=484,Whirlpool,Washing Machine,No,0,1989 08 04,Whirlpool--Washing Machine,455,484,29,,"ffmpeg -ss 454 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 32 ""Whirlpool--Washing Machine__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_455s"".mp4"
3,1,13,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=485,https://youtu.be/Hh0PsOJW2j4?t=514,EL Pollo Loco,chicken ,Yes,0,1989 08 04,EL Pollo Loco--chicken ,485,514,29,Int,"ffmpeg -ss 484 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 32 ""EL Pollo Loco--chicken _Int_ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_485s"".mp4"
4,1,19,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=807,https://youtu.be/Hh0PsOJW2j4?t=839,Toyota,car ,Yes,0,1989 08 04,Toyota--car ,807,839,32,Int,"ffmpeg -ss 806 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 35 ""Toyota--car _Int_ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_807s"".mp4"
5,1,25,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=839,https://youtu.be/Hh0PsOJW2j4?t=868,Segrams,Wine Cooler,Yes,0,1989 08 04,Segrams--Wine Cooler,839,868,29,Int,"ffmpeg -ss 838 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 32 ""Segrams--Wine Cooler_Int_ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_839s"".mp4"
6,1,31,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=869,https://youtu.be/Hh0PsOJW2j4?t=898,B. M C music Company,singer,No,0,1989 08 04,B. M C music Company--singer,869,898,29,,"ffmpeg -ss 868 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 32 ""B. M C music Company--singer__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_869s"".mp4"
7,1,37,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1058,https://youtu.be/Hh0PsOJW2j4?t=1087,idk,lawyer firm,No,0,1989 08 04,idk--lawyer firm,1058,1087,29,,"ffmpeg -ss 1057 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 32 ""idk--lawyer firm__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1058s"".mp4"
8,1,43,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1087,https://youtu.be/Hh0PsOJW2j4?t=1118,Sears,clothing ,No,0,1989 08 04,Sears--clothing ,1087,1118,31,,"ffmpeg -ss 1086 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 34 ""Sears--clothing __ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1087s"".mp4"
9,1,49,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1119,https://youtu.be/Hh0PsOJW2j4?t=1148,Cheverlot ,cars,No,0,1989 08 04,Cheverlot --cars,1119,1148,29,,"ffmpeg -ss 1118 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 32 ""Cheverlot --cars__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1119s"".mp4"
10,1,55,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1281,https://youtu.be/Hh0PsOJW2j4?t=1311,Chief,automobile,No,0,1989 08 04,Chief--automobile,1281,1311,30,,"ffmpeg -ss 1280 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""Chief--automobile__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1281s"".mp4"
