SettingsStartDate,EndDateSpecified,SettingsNotes,VCRNum,Channels,TapeDetails,ShowNum,StartTime,EndTime,Channel,Freq,Hours,ShowName,ConcatenatedShows,EndConcatenate
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,1,04:00 PM,08:00 PM,2, Daily,4,Local/Natl/Tabs,Local/Natl/Tabs,0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,2,10:00 PM,10:30 PM,5, Daily,0.5,KTLA,"Local/Natl/Tabs, KTLA",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,3,11:00 PM,12:00 AM,2, Daily,1,CBS/Letterman,"Local/Natl/Tabs, KTLA, CBS/Letterman",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,4,01:00 AM,01:30 AM,9, Daily,0.5,Rush/Limbaugh,"Local/Natl/Tabs, KTLA, CBS/Letterman, Rush/Limbaugh",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,5,07:00 AM,09:00 AM,2, Daily,2,CBS AM,"Local/Natl/Tabs, KTLA, CBS/Letterman, Rush/Limbaugh, CBS AM",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,6,01:00 AM,01:30 AM,9, Sat Wkly,0.5,Rush Limbaugh,"Local/Natl/Tabs, KTLA, CBS/Letterman, Rush/Limbaugh, CBS AM, Rush Limbaugh",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,7,05:30 PM,07:00 PM,2, Sat Wkly,1.5,Local/Natl,"Local/Natl/Tabs, KTLA, CBS/Letterman, Rush/Limbaugh, CBS AM, Rush Limbaugh, Local/Natl",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,8,05:30 PM,08:00 PM,2, Sun Wkly,2.5,Natl/Local/60 Min,"Local/Natl/Tabs, KTLA, CBS/Letterman, Rush/Limbaugh, CBS AM, Rush Limbaugh, Local/Natl, Natl/Local/60 Min",1
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"2,4,9",,1,03:00 PM,04:00 PM,2, Daily,1,,0,0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"2,4,9",,2,04:00 PM,07:00 PM,4, Daily,3,Local/Natl,"0, Local/Natl",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"2,4,9",,3,11:00 PM,12:00 AM,4, Daily,1,KNBC/Leno,"0, Local/Natl, KNBC/Leno",0
